#         x                 p                rho                u        
-7.9158316633e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.8757515030e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.8356713427e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.7955911824e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.7555110220e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.7154308617e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.6753507014e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.6352705411e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.5951903808e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.5551102204e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.5150300601e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.4749498998e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.4348697395e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.3947895792e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.3547094188e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.3146292585e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.2745490982e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.2344689379e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.1943887776e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.1543086172e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.1142284569e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.0741482966e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-7.0340681363e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.9939879760e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.9539078156e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.9138276553e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.8737474950e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.8336673347e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.7935871743e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.7535070140e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.7134268537e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.6733466934e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.6332665331e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.5931863727e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.5531062124e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.5130260521e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.4729458918e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.4328657315e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.3927855711e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.3527054108e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.3126252505e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.2725450902e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.2324649299e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.1923847695e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.1523046092e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.1122244489e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.0721442886e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-6.0320641283e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-5.9919839679e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
